id,ans,question,a),b),c),d),e),year,sec,num,diff,blanks
100,c,"""Less government spending"" is _____ of this political party, a belief shared by most party members.","""Less government spending"" is an acronym of this political party, a belief shared by most party members.","""Less government spending"" is a retraction of this political party, a belief shared by most party members.","""Less government spending"" is a tenet of this political party, a belief shared by most party members.","""Less government spending"" is a plight of this political party, a belief shared by most party members.","""Less government spending"" is a prospectus of this political party, a belief shared by most party members.",2007,4,5,5,1
101,a,Common garlic has _____ properties; during the First World War British medics saved thousands of lives by wrapping wounds with garlic-soaked bandages.,Common garlic has curative properties; during the First World War British medics saved thousands of lives by wrapping wounds with garlic-soaked bandages.,Common garlic has flavoring properties; during the First World War British medics saved thousands of lives by wrapping wounds with garlic-soaked bandages.,Common garlic has inferior properties; during the First World War British medics saved thousands of lives by wrapping wounds with garlic-soaked bandages.,Common garlic has questionable properties; during the First World War British medics saved thousands of lives by wrapping wounds with garlic-soaked bandages.,Common garlic has infamous properties; during the First World War British medics saved thousands of lives by wrapping wounds with garlic-soaked bandages.,2007,6,1,1,1
102,a,"In her poems, Alice Walker retrieves and _____ parts of Black culture that some have been all too quick to _____ to the past as fossilized artifacts.","In her poems, Alice Walker retrieves and revitalizes parts of Black culture that some have been all too quick to consign to to the past as fossilized artifacts.","In her poems, Alice Walker retrieves and conjoins parts of Black culture that some have been all too quick to exclude from to the past as fossilized artifacts.","In her poems, Alice Walker retrieves and realigns parts of Black culture that some have been all too quick to salvage from to the past as fossilized artifacts.","In her poems, Alice Walker retrieves and diffuses parts of Black culture that some have been all too quick to defer to to the past as fossilized artifacts.","In her poems, Alice Walker retrieves and refracts parts of Black culture that some have been all too quick to impose on to the past as fossilized artifacts.",2007,6,2,3,2
103,d,The modest acceptance speech of the Academy Awardwinning actress revealed a _____ that contrasted with her uninhibited screen performances.,The modest acceptance speech of the Academy Awardwinning actress revealed a theatricality that contrasted with her uninhibited screen performances.,The modest acceptance speech of the Academy Awardwinning actress revealed a sullenness that contrasted with her uninhibited screen performances.,The modest acceptance speech of the Academy Awardwinning actress revealed a flamboyance that contrasted with her uninhibited screen performances.,The modest acceptance speech of the Academy Awardwinning actress revealed a reserve that contrasted with her uninhibited screen performances.,The modest acceptance speech of the Academy Awardwinning actress revealed a nonchalance that contrasted with her uninhibited screen performances.,2007,6,3,4,1
104,c,"Because howler monkeys rarely come out of the trees in their arboreal habitat, the continued well-being of the rain forest is _____ to their survival.","Because howler monkeys rarely come out of the trees in their arboreal habitat, the continued well-being of the rain forest is inadequate to their survival.","Because howler monkeys rarely come out of the trees in their arboreal habitat, the continued well-being of the rain forest is tangential to their survival.","Because howler monkeys rarely come out of the trees in their arboreal habitat, the continued well-being of the rain forest is indispensable to their survival.","Because howler monkeys rarely come out of the trees in their arboreal habitat, the continued well-being of the rain forest is baneful to their survival.","Because howler monkeys rarely come out of the trees in their arboreal habitat, the continued well-being of the rain forest is expeditious to their survival.",2007,6,4,3,1
105,b,Doug was both _____ and _____: he possessed penetrating acuity and discernment and was also extremely humble.,Doug was both diligent and supercilious: he possessed penetrating acuity and discernment and was also extremely humble.,Doug was both perspicacious and unpretentious: he possessed penetrating acuity and discernment and was also extremely humble.,Doug was both obtuse and penitent: he possessed penetrating acuity and discernment and was also extremely humble.,Doug was both sagacious and imposing: he possessed penetrating acuity and discernment and was also extremely humble.,Doug was both apologetic and unassuming: he possessed penetrating acuity and discernment and was also extremely humble.,2007,6,5,4,2
106,c,"The Mona Lisa, shipped in a private cabin and received by important dignitaries, was treated more like _____ than a painting upon its arrival in the United States.","The Mona Lisa, shipped in a private cabin and received by important dignitaries, was treated more like a perfectionist than a painting upon its arrival in the United States.","The Mona Lisa, shipped in a private cabin and received by important dignitaries, was treated more like a maverick than a painting upon its arrival in the United States.","The Mona Lisa, shipped in a private cabin and received by important dignitaries, was treated more like a potentate than a painting upon its arrival in the United States.","The Mona Lisa, shipped in a private cabin and received by important dignitaries, was treated more like an ascetic than a painting upon its arrival in the United States.","The Mona Lisa, shipped in a private cabin and received by important dignitaries, was treated more like an interloper than a painting upon its arrival in the United States.",2007,6,6,5,1
107,b,"Despite its patent _____, this belief has become so _____ that no amount of rational argument will suffice to eradicate it.","Despite its patent validity, this belief has become so inconsequential that no amount of rational argument will suffice to eradicate it.","Despite its patent implausibility, this belief has become so entrenched that no amount of rational argument will suffice to eradicate it.","Despite its patent credibility, this belief has become so prevalent that no amount of rational argument will suffice to eradicate it.","Despite its patent absurdity, this belief has become so outmoded that no amount of rational argument will suffice to eradicate it.","Despite its patent novelty, this belief has become so infrequent that no amount of rational argument will suffice to eradicate it.",2007,6,7,5,2
108,a,The charlatan's seemingly frank and open demeanor was actually a _____ means of enlisting his patient's confidence.,The charlatan's seemingly frank and open demeanor was actually a disingenuous means of enlisting his patient's confidence.,The charlatan's seemingly frank and open demeanor was actually a debilitating means of enlisting his patient's confidence.,The charlatan's seemingly frank and open demeanor was actually a diminutive means of enlisting his patient's confidence.,The charlatan's seemingly frank and open demeanor was actually a cathartic means of enlisting his patient's confidence.,The charlatan's seemingly frank and open demeanor was actually a prosaic means of enlisting his patient's confidence.,2007,6,8,5,1
109,e,"Unable to discover how the fire started, the inspectors filed a tentative report stating that the cause was _____.","Unable to discover how the fire started, the inspectors filed a tentative report stating that the cause was noteworthy.","Unable to discover how the fire started, the inspectors filed a tentative report stating that the cause was definitive.","Unable to discover how the fire started, the inspectors filed a tentative report stating that the cause was fundamental.","Unable to discover how the fire started, the inspectors filed a tentative report stating that the cause was conclusive.","Unable to discover how the fire started, the inspectors filed a tentative report stating that the cause was indeterminate.",2007,9,1,1,1
110,b,The celebrants at the _____ party for Cinco De Mayo were understandably _____ by the spectacle of the mariachi bands and the colorful pi?atas for the children.,The celebrants at the somber party for Cinco De Mayo were understandably amused by the spectacle of the mariachi bands and the colorful pi?atas for the children.,The celebrants at the lavish party for Cinco De Mayo were understandably dazzled by the spectacle of the mariachi bands and the colorful pi?atas for the children.,The celebrants at the novel party for Cinco De Mayo were understandably jaded by the spectacle of the mariachi bands and the colorful pi?atas for the children.,The celebrants at the mundane party for Cinco De Mayo were understandably astounded by the spectacle of the mariachi bands and the colorful pi?atas for the children.,The celebrants at the joyous party for Cinco De Mayo were understandably stymied by the spectacle of the mariachi bands and the colorful pi?atas for the children.,2007,9,2,2,2
111,c,"""Hawaii"" refers both to the group of islands known as the Hawaiian islands and to the largest island in that _____.","""Hawaii"" refers both to the group of islands known as the Hawaiian islands and to the largest island in that flora.","""Hawaii"" refers both to the group of islands known as the Hawaiian islands and to the largest island in that sierra.","""Hawaii"" refers both to the group of islands known as the Hawaiian islands and to the largest island in that archipelago.","""Hawaii"" refers both to the group of islands known as the Hawaiian islands and to the largest island in that flotilla.","""Hawaii"" refers both to the group of islands known as the Hawaiian islands and to the largest island in that savanna.",2007,9,3,3,1
112,c,"Given the exponential growth of scientific knowledge, medicine is far less _____ unsubstantiated fads than it used to be; its record of folly, however, remains an undeniable _____.","Given the exponential growth of scientific knowledge, medicine is far less suspicious of unsubstantiated fads than it used to be; its record of folly, however, remains an undeniable qualification.","Given the exponential growth of scientific knowledge, medicine is far less averse to unsubstantiated fads than it used to be; its record of folly, however, remains an undeniable encumbrance.","Given the exponential growth of scientific knowledge, medicine is far less vulnerable to unsubstantiated fads than it used to be; its record of folly, however, remains an undeniable embarrassment.","Given the exponential growth of scientific knowledge, medicine is far less dependent on unsubstantiated fads than it used to be; its record of folly, however, remains an undeniable impossibility.","Given the exponential growth of scientific knowledge, medicine is far less ignorant of unsubstantiated fads than it used to be; its record of folly, however, remains an undeniable oversight.",2007,9,4,3,2
113,d,"The aspiring writer, who remained _____ even after being rejected by several major publishers, felt certain of achieving literary _____.","The aspiring writer, who remained hopeless even after being rejected by several major publishers, felt certain of achieving literary vindication.","The aspiring writer, who remained disgruntled even after being rejected by several major publishers, felt certain of achieving literary talent.","The aspiring writer, who remained optimistic even after being rejected by several major publishers, felt certain of achieving literary abasement.","The aspiring writer, who remained undaunted even after being rejected by several major publishers, felt certain of achieving literary celebrity.","The aspiring writer, who remained obsequious even after being rejected by several major publishers, felt certain of achieving literary neglect.",2007,9,5,4,2
114,a,"Fred often used _____ to achieve his professional goals, even though such artful subterfuge alienated his colleagues.","Fred often used chicanery to achieve his professional goals, even though such artful subterfuge alienated his colleagues.","Fred often used diligence to achieve his professional goals, even though such artful subterfuge alienated his colleagues.","Fred often used bombast to achieve his professional goals, even though such artful subterfuge alienated his colleagues.","Fred often used disputation to achieve his professional goals, even though such artful subterfuge alienated his colleagues.","Fred often used consensus to achieve his professional goals, even though such artful subterfuge alienated his colleagues.",2007,9,6,5,1
115,e,"Some fans feel that sports events are _____ only when the competitors are of equal ability, making the outcome of the game _____.","Some fans feel that sports events are successful only when the competitors are of equal ability, making the outcome of the game assured.","Some fans feel that sports events are boring only when the competitors are of equal ability, making the outcome of the game questionable.","Some fans feel that sports events are dull only when the competitors are of equal ability, making the outcome of the game foreseen.","Some fans feel that sports events are interesting only when the competitors are of equal ability, making the outcome of the game predictable.","Some fans feel that sports events are exciting only when the competitors are of equal ability, making the outcome of the game uncertain.",2013,4,1,1,2
116,c,"Alfred Schnittke's musical compositions are _____: phrases are clipped, broken into sections, and split apart by long rests.","Alfred Schnittke's musical compositions are garnished: phrases are clipped, broken into sections, and split apart by long rests.","Alfred Schnittke's musical compositions are improvisational: phrases are clipped, broken into sections, and split apart by long rests.","Alfred Schnittke's musical compositions are fragmented: phrases are clipped, broken into sections, and split apart by long rests.","Alfred Schnittke's musical compositions are cautious: phrases are clipped, broken into sections, and split apart by long rests.","Alfred Schnittke's musical compositions are uniform: phrases are clipped, broken into sections, and split apart by long rests.",2013,4,2,1,1
117,a,"The consumer advocate claimed that while drug manufacturers _____ the supposed advantages of their proprietary brands, generic versions of the same medications are often equally _____.","The consumer advocate claimed that while drug manufacturers tout the supposed advantages of their proprietary brands, generic versions of the same medications are often equally efficacious.","The consumer advocate claimed that while drug manufacturers research the supposed advantages of their proprietary brands, generic versions of the same medications are often equally innocuous.","The consumer advocate claimed that while drug manufacturers market the supposed advantages of their proprietary brands, generic versions of the same medications are often equally prohibitive.","The consumer advocate claimed that while drug manufacturers laud the supposed advantages of their proprietary brands, generic versions of the same medications are often equally counterproductive.","The consumer advocate claimed that while drug manufacturers extract the supposed advantages of their proprietary brands, generic versions of the same medications are often equally prescriptive.",2013,4,3,4,2
118,e,Latoya’s _____ is shown by her ability to be _____: she can see her own faults more clearly than anyone else can.,Latoya’s perceptiveness is shown by her ability to be self-centered: she can see her own faults more clearly than anyone else can.,Latoya’s objectivity is shown by her ability to be restrictive: she can see her own faults more clearly than anyone else can.,Latoya’s cynicism is shown by her ability to be self-destructive: she can see her own faults more clearly than anyone else can.,Latoya’s open-mindedness is shown by her ability to be complacent: she can see her own faults more clearly than anyone else can.,Latoya’s insightfulness is shown by her ability to be self-critical: she can see her own faults more clearly than anyone else can.,2013,4,4,2,2
119,d,"The bearded dragon lizard is a voracious eater, so _____ that it will consume as many insects as possible.","The bearded dragon lizard is a voracious eater, so abstemious that it will consume as many insects as possible.","The bearded dragon lizard is a voracious eater, so cannibalistic that it will consume as many insects as possible.","The bearded dragon lizard is a voracious eater, so slovenly that it will consume as many insects as possible.","The bearded dragon lizard is a voracious eater, so insatiable that it will consume as many insects as possible.","The bearded dragon lizard is a voracious eater, so unpalatable that it will consume as many insects as possible.",2013,4,5,4,1
120,e,"Because drummer Tony Williams paved the way for later jazz-fusion musicians, he is considered a _____ of that style.","Because drummer Tony Williams paved the way for later jazz-fusion musicians, he is considered a connoisseur of that style.","Because drummer Tony Williams paved the way for later jazz-fusion musicians, he is considered a revivalist of that style.","Because drummer Tony Williams paved the way for later jazz-fusion musicians, he is considered a beneficiary of that style.","Because drummer Tony Williams paved the way for later jazz-fusion musicians, he is considered a disparager of that style.","Because drummer Tony Williams paved the way for later jazz-fusion musicians, he is considered a progenitor of that style.",2013,4,6,4,1
121,b,"The politician's speech to the crowd was composed of nothing but _____, a bitter railing against the party's opponents.","The politician's speech to the crowd was composed of nothing but digressions, a bitter railing against the party's opponents.","The politician's speech to the crowd was composed of nothing but diatribes, a bitter railing against the party's opponents.","The politician's speech to the crowd was composed of nothing but platitudes, a bitter railing against the party's opponents.","The politician's speech to the crowd was composed of nothing but machinations, a bitter railing against the party's opponents.","The politician's speech to the crowd was composed of nothing but acclamations, a bitter railing against the party's opponents.",2013,4,7,5,1
122,a,"Favoring economy of expression in writing, the professor urged students toward a _____ rather than an _____ prose style.","Favoring economy of expression in writing, the professor urged students toward a spare rather than an ornate prose style.","Favoring economy of expression in writing, the professor urged students toward a terse rather than an opinionated prose style.","Favoring economy of expression in writing, the professor urged students toward a personal rather than an academic prose style.","Favoring economy of expression in writing, the professor urged students toward a baroque rather than an embellished prose style.","Favoring economy of expression in writing, the professor urged students toward a repetitive rather than an intricate prose style.",2013,4,8,5,2
123,d,"Black Americans in Flight, a mural honoring several aviation pioneers, also _____ the 1992 spaceflight of astronaut Mae Jemison.","Black Americans in Flight, a mural honoring several aviation pioneers, also discerns the 1992 spaceflight of astronaut Mae Jemison.","Black Americans in Flight, a mural honoring several aviation pioneers, also introduces the 1992 spaceflight of astronaut Mae Jemison.","Black Americans in Flight, a mural honoring several aviation pioneers, also approximates the 1992 spaceflight of astronaut Mae Jemison.","Black Americans in Flight, a mural honoring several aviation pioneers, also commemorates the 1992 spaceflight of astronaut Mae Jemison.","Black Americans in Flight, a mural honoring several aviation pioneers, also asserts the 1992 spaceflight of astronaut Mae Jemison.",2013,7,1,1,1
124,d,"The new antifungal agent has such _____ uses, from treating Dutch elm disease to rescuing water-damaged works of art from molds, that it is considered one of the more _____ antibiotics.","The new antifungal agent has such disturbing uses, from treating Dutch elm disease to rescuing water-damaged works of art from molds, that it is considered one of the more explicit antibiotics.","The new antifungal agent has such innovative uses, from treating Dutch elm disease to rescuing water-damaged works of art from molds, that it is considered one of the more precipitous antibiotics.","The new antifungal agent has such mysterious uses, from treating Dutch elm disease to rescuing water-damaged works of art from molds, that it is considered one of the more recognized antibiotics.","The new antifungal agent has such varied uses, from treating Dutch elm disease to rescuing water-damaged works of art from molds, that it is considered one of the more versatile antibiotics.","The new antifungal agent has such similar uses, from treating Dutch elm disease to rescuing water-damaged works of art from molds, that it is considered one of the more discriminating antibiotics.",2013,7,2,1,2
125,a,"The child had a tendency toward aggressive behavior, a _____ fighting rather than resolving differences amicably.","The child had a tendency toward aggressive behavior, a propensity for fighting rather than resolving differences amicably.","The child had a tendency toward aggressive behavior, a confusion about fighting rather than resolving differences amicably.","The child had a tendency toward aggressive behavior, a disregard of fighting rather than resolving differences amicably.","The child had a tendency toward aggressive behavior, a hostility toward fighting rather than resolving differences amicably.","The child had a tendency toward aggressive behavior, a compunction about fighting rather than resolving differences amicably.",2013,7,3,2,1
126,c,"Physical exercise often has a _____ effect, releasing emotional tension and refreshing the spirit.","Physical exercise often has a pejorative effect, releasing emotional tension and refreshing the spirit.","Physical exercise often has a debilitating effect, releasing emotional tension and refreshing the spirit.","Physical exercise often has a cathartic effect, releasing emotional tension and refreshing the spirit.","Physical exercise often has a retentive effect, releasing emotional tension and refreshing the spirit.","Physical exercise often has a tenacious effect, releasing emotional tension and refreshing the spirit.",2013,7,4,5,1
127,b,"Because rap and hip-hop offer such _____ commentary on contemporary issues, they are often said to be sharp-edged musical genres.","Because rap and hip-hop offer such nebulous commentary on contemporary issues, they are often said to be sharp-edged musical genres.","Because rap and hip-hop offer such trenchant commentary on contemporary issues, they are often said to be sharp-edged musical genres.","Because rap and hip-hop offer such circumspect commentary on contemporary issues, they are often said to be sharp-edged musical genres.","Because rap and hip-hop offer such prosaic commentary on contemporary issues, they are often said to be sharp-edged musical genres.","Because rap and hip-hop offer such benign commentary on contemporary issues, they are often said to be sharp-edged musical genres.",2013,7,5,5,1
128,b,"As a child, Mary _____ her stringent upbringing; however, as she grew older she began to appreciate her grandmother’s strict _____.","As a child, Mary tolerated her stringent upbringing; however, as she grew older she began to appreciate her grandmother’s strict autonomy.","As a child, Mary despised her stringent upbringing; however, as she grew older she began to appreciate her grandmother’s strict discipline.","As a child, Mary embraced her stringent upbringing; however, as she grew older she began to appreciate her grandmother’s strict authority.","As a child, Mary disavowed her stringent upbringing; however, as she grew older she began to appreciate her grandmother’s strict abstinence.","As a child, Mary loathed her stringent upbringing; however, as she grew older she began to appreciate her grandmother’s strict liberality.",2013,8,1,1,2
129,d,"His mouth stinging and burning, Virgil hurried to the kitchen for water to wash away the dish's _____ taste.","His mouth stinging and burning, Virgil hurried to the kitchen for water to wash away the dish's earthy taste.","His mouth stinging and burning, Virgil hurried to the kitchen for water to wash away the dish's exotic taste.","His mouth stinging and burning, Virgil hurried to the kitchen for water to wash away the dish's cloying taste.","His mouth stinging and burning, Virgil hurried to the kitchen for water to wash away the dish's acrid taste.","His mouth stinging and burning, Virgil hurried to the kitchen for water to wash away the dish's succulent taste.",2013,8,2,2,1
130,e,"Since other seabirds customarily nest in colonies on ocean cliffs and islands, the marbled murrelet’s _____ nesting in forests many miles from the sea must be considered _____.","Since other seabirds customarily nest in colonies on ocean cliffs and islands, the marbled murrelet’s ambivalence about nesting in forests many miles from the sea must be considered hypothetical.","Since other seabirds customarily nest in colonies on ocean cliffs and islands, the marbled murrelet’s indifference to nesting in forests many miles from the sea must be considered bold.","Since other seabirds customarily nest in colonies on ocean cliffs and islands, the marbled murrelet’s insistence upon nesting in forests many miles from the sea must be considered evident.","Since other seabirds customarily nest in colonies on ocean cliffs and islands, the marbled murrelet’s aversion to nesting in forests many miles from the sea must be considered dangerous.","Since other seabirds customarily nest in colonies on ocean cliffs and islands, the marbled murrelet’s predilection for nesting in forests many miles from the sea must be considered atypical.",2013,8,3,3,2
131,d,"The cause of Mozart’s _____ is a long-standing medical _____: over the years, physicians have suggested more than 100 possibilities, including poisoning, malnutrition, kidney disease, and heart failure.","The cause of Mozart’s mortality is a long-standing medical phenomenon: over the years, physicians have suggested more than 100 possibilities, including poisoning, malnutrition, kidney disease, and heart failure.","The cause of Mozart’s bereavement is a long-standing medical controversy: over the years, physicians have suggested more than 100 possibilities, including poisoning, malnutrition, kidney disease, and heart failure.","The cause of Mozart’s genius is a long-standing medical enigma: over the years, physicians have suggested more than 100 possibilities, including poisoning, malnutrition, kidney disease, and heart failure.","The cause of Mozart’s demise is a long-standing medical mystery: over the years, physicians have suggested more than 100 possibilities, including poisoning, malnutrition, kidney disease, and heart failure.","The cause of Mozart’s death is a long-standing medical trial: over the years, physicians have suggested more than 100 possibilities, including poisoning, malnutrition, kidney disease, and heart failure.",2013,8,4,3,2
132,e,"At first the children were _____, but as the morning progressed they began to laugh and talk eagerly.","At first the children were ostentatious, but as the morning progressed they began to laugh and talk eagerly.","At first the children were myopic, but as the morning progressed they began to laugh and talk eagerly.","At first the children were solicitous, but as the morning progressed they began to laugh and talk eagerly.","At first the children were puerile, but as the morning progressed they began to laugh and talk eagerly.","At first the children were reticent, but as the morning progressed they began to laugh and talk eagerly.",2013,8,5,5,1
133,e,"Oren missed the play's overarching significance, focusing instead on details so minor that they would best be described as _____.","Oren missed the play's overarching significance, focusing instead on details so minor that they would best be described as pragmatic.","Oren missed the play's overarching significance, focusing instead on details so minor that they would best be described as indelible.","Oren missed the play's overarching significance, focusing instead on details so minor that they would best be described as moribund.","Oren missed the play's overarching significance, focusing instead on details so minor that they would best be described as picayune.","Oren missed the play's overarching significance, focusing instead on details so minor that they would best be described as impervious.",2013,8,6,5,1
134,e,"Many private universities depend heavily on _____, the wealthy individuals who support them with gifts and bequests.","Many private universities depend heavily on instructors, the wealthy individuals who support them with gifts and bequests.","Many private universities depend heavily on administrators, the wealthy individuals who support them with gifts and bequests.","Many private universities depend heavily on monitors, the wealthy individuals who support them with gifts and bequests.","Many private universities depend heavily on accountants, the wealthy individuals who support them with gifts and bequests.","Many private universities depend heavily on benefactors, the wealthy individuals who support them with gifts and bequests.",2014,3,1,1,1
135,a,One of the characters in Milton Murayama's novel is considered _____ because he deliberately defies an oppressive hierarchical society.,One of the characters in Milton Murayama's novel is considered rebellious because he deliberately defies an oppressive hierarchical society.,One of the characters in Milton Murayama's novel is considered impulsive because he deliberately defies an oppressive hierarchical society.,One of the characters in Milton Murayama's novel is considered artistic because he deliberately defies an oppressive hierarchical society.,One of the characters in Milton Murayama's novel is considered industrious because he deliberately defies an oppressive hierarchical society.,One of the characters in Milton Murayama's novel is considered tyrannical because he deliberately defies an oppressive hierarchical society.,2014,3,2,1,1
136,b,"Nightjars possess a camouflage perhaps unparalleled in the bird world: by day they roost hidden in shady woods, so _____ with their surroundings that they are nearly impossible to _____.","Nightjars possess a camouflage perhaps unparalleled in the bird world: by day they roost hidden in shady woods, so vexed with their surroundings that they are nearly impossible to dislodge.","Nightjars possess a camouflage perhaps unparalleled in the bird world: by day they roost hidden in shady woods, so blended with their surroundings that they are nearly impossible to discern.","Nightjars possess a camouflage perhaps unparalleled in the bird world: by day they roost hidden in shady woods, so harmonized with their surroundings that they are nearly impossible to interrupt.","Nightjars possess a camouflage perhaps unparalleled in the bird world: by day they roost hidden in shady woods, so impatient with their surroundings that they are nearly impossible to distinguish.","Nightjars possess a camouflage perhaps unparalleled in the bird world: by day they roost hidden in shady woods, so integrated with their surroundings that they are nearly impossible to classify.",2014,3,3,3,2
137,a,"Many economists believe that since resources are scarce and since human desires cannot all be _____, a method of _____ is needed.","Many economists believe that since resources are scarce and since human desires cannot all be indulged, a method of apportionment is needed.","Many economists believe that since resources are scarce and since human desires cannot all be verified, a method of distribution is needed.","Many economists believe that since resources are scarce and since human desires cannot all be usurped, a method of expropriation is needed.","Many economists believe that since resources are scarce and since human desires cannot all be expressed, a method of reparation is needed.","Many economists believe that since resources are scarce and since human desires cannot all be anticipated, a method of advertising is needed.",2014,3,4,3,2
138,a,The range of colors that homeowners could use on the exterior of their houses was _____ by the community's stringent rules regarding upkeep of property.,The range of colors that homeowners could use on the exterior of their houses was circumscribed by the community's stringent rules regarding upkeep of property.,The range of colors that homeowners could use on the exterior of their houses was bolstered by the community's stringent rules regarding upkeep of property.,The range of colors that homeowners could use on the exterior of their houses was embellished by the community's stringent rules regarding upkeep of property.,The range of colors that homeowners could use on the exterior of their houses was insinuated by the community's stringent rules regarding upkeep of property.,The range of colors that homeowners could use on the exterior of their houses was cultivated by the community's stringent rules regarding upkeep of property.,2014,3,5,5,1
139,d,Years of _____ lifting of heavy furniture had left him too _____ to be able to stand erect for long periods of time.,Years of profitable lifting of heavy furniture had left him too dumbfounded to be able to stand erect for long periods of time.,Years of generous lifting of heavy furniture had left him too distracted to be able to stand erect for long periods of time.,Years of onerous lifting of heavy furniture had left him too hesitant to be able to stand erect for long periods of time.,Years of strenuous lifting of heavy furniture had left him too debilitated to be able to stand erect for long periods of time.,Years of unstinting lifting of heavy furniture had left him too eminent to be able to stand erect for long periods of time.,2014,7,1,1,2
140,c,"Canadian Lynn Johnston was named Cartoonist of the Year in 1985, the first woman to be so _____.","Canadian Lynn Johnston was named Cartoonist of the Year in 1985, the first woman to be so inspired.","Canadian Lynn Johnston was named Cartoonist of the Year in 1985, the first woman to be so entrusted.","Canadian Lynn Johnston was named Cartoonist of the Year in 1985, the first woman to be so honored.","Canadian Lynn Johnston was named Cartoonist of the Year in 1985, the first woman to be so employed.","Canadian Lynn Johnston was named Cartoonist of the Year in 1985, the first woman to be so refined.",2014,7,2,1,1
141,a,"Because the photographer believed that wild animals should be _____ only in their various natural surroundings, she _____ often in her career.","Because the photographer believed that wild animals should be depicted only in their various natural surroundings, she traveled often in her career.","Because the photographer believed that wild animals should be displayed only in their various natural surroundings, she spoke often in her career.","Because the photographer believed that wild animals should be captured only in their various natural surroundings, she protested often in her career.","Because the photographer believed that wild animals should be domesticated only in their various natural surroundings, she roamed often in her career.","Because the photographer believed that wild animals should be represented only in their various natural surroundings, she publicized often in her career.",2014,7,3,2,2
142,b,Folk painter Grandma Moses has become such an enduring icon that many consider her _____ of America.,Folk painter Grandma Moses has become such an enduring icon that many consider her an innovator of America.,Folk painter Grandma Moses has become such an enduring icon that many consider her an emblem of America.,Folk painter Grandma Moses has become such an enduring icon that many consider her a successor of America.,Folk painter Grandma Moses has become such an enduring icon that many consider her a detractor of America.,Folk painter Grandma Moses has become such an enduring icon that many consider her a lobbyist of America.,2014,7,4,2,1
143,c,"Whether substances are medicines or poisons often depends on dosage, for substances that are _____ in small doses can be _____ in large.","Whether substances are medicines or poisons often depends on dosage, for substances that are useless in small doses can be effective in large.","Whether substances are medicines or poisons often depends on dosage, for substances that are mild in small doses can be benign in large.","Whether substances are medicines or poisons often depends on dosage, for substances that are curative in small doses can be toxic in large.","Whether substances are medicines or poisons often depends on dosage, for substances that are harmful in small doses can be fatal in large.","Whether substances are medicines or poisons often depends on dosage, for substances that are beneficial in small doses can be miraculous in large.",2014,7,5,2,2
144,c,"Critics dismissed the engineer's seemingly creative design as being _____, that is, underdeveloped and lacking in sophistication.","Critics dismissed the engineer's seemingly creative design as being defunct, that is, underdeveloped and lacking in sophistication.","Critics dismissed the engineer's seemingly creative design as being unorthodox, that is, underdeveloped and lacking in sophistication.","Critics dismissed the engineer's seemingly creative design as being simplistic, that is, underdeveloped and lacking in sophistication.","Critics dismissed the engineer's seemingly creative design as being erroneous, that is, underdeveloped and lacking in sophistication.","Critics dismissed the engineer's seemingly creative design as being ambiguous, that is, underdeveloped and lacking in sophistication.",2014,7,6,3,1
145,e,"The professor commented to other faculty members that Sheila seemed temperamentally suited to the study of logic, given her _____ for _____ intricate arguments.","The professor commented to other faculty members that Sheila seemed temperamentally suited to the study of logic, given her sympathy for influencing intricate arguments.","The professor commented to other faculty members that Sheila seemed temperamentally suited to the study of logic, given her penchant for evading intricate arguments.","The professor commented to other faculty members that Sheila seemed temperamentally suited to the study of logic, given her disregard for unhinging intricate arguments.","The professor commented to other faculty members that Sheila seemed temperamentally suited to the study of logic, given her contempt for following intricate arguments.","The professor commented to other faculty members that Sheila seemed temperamentally suited to the study of logic, given her bent for analyzing intricate arguments.",2014,7,7,4,2
146,e,"While traveling near the Sun, the comet Hale-Bopp produced a _____ amount of dust, much more than the comets Halley or Hyakutake.","While traveling near the Sun, the comet Hale-Bopp produced a voracious amount of dust, much more than the comets Halley or Hyakutake.","While traveling near the Sun, the comet Hale-Bopp produced a disposable amount of dust, much more than the comets Halley or Hyakutake.","While traveling near the Sun, the comet Hale-Bopp produced a redundant amount of dust, much more than the comets Halley or Hyakutake.","While traveling near the Sun, the comet Hale-Bopp produced a superficial amount of dust, much more than the comets Halley or Hyakutake.","While traveling near the Sun, the comet Hale-Bopp produced a prodigious amount of dust, much more than the comets Halley or Hyakutake.",2014,7,8,5,1
147,a,"The writer came to be labeled _____ because she isolated herself in her apartment, shunning outside contact.","The writer came to be labeled a loner because she isolated herself in her apartment, shunning outside contact.","The writer came to be labeled a miser because she isolated herself in her apartment, shunning outside contact.","The writer came to be labeled a connoisseur because she isolated herself in her apartment, shunning outside contact.","The writer came to be labeled a conspirator because she isolated herself in her apartment, shunning outside contact.","The writer came to be labeled an ingenue because she isolated herself in her apartment, shunning outside contact.",2014,9,1,1,1
148,b,"Some Tibetan nomads used yak butter as a _____, one that often took the place of money in commercial transactions.","Some Tibetan nomads used yak butter as a promotion, one that often took the place of money in commercial transactions.","Some Tibetan nomads used yak butter as a commodity, one that often took the place of money in commercial transactions.","Some Tibetan nomads used yak butter as a formula, one that often took the place of money in commercial transactions.","Some Tibetan nomads used yak butter as a refund, one that often took the place of money in commercial transactions.","Some Tibetan nomads used yak butter as a register, one that often took the place of money in commercial transactions.",2014,9,2,2,1
